DateTime,Date,Daytime,Rain_mm,Production_kW,Consumption_kW,Temperature,Irradiance,Haselholz_m,Bidmi_m,Spot_Price_CHF_MWh,Haselholz_mm,Bidmi_mm,Bidmi_Production_kW,Haselholz_Production_kW,Bidmi_Output_mm,Haselholz_Output_mm,Bidmi_Inflow_mm,Haselholz_Inflow_mm,Natural_Inflow_B_mm,Natural_Inflow_H_mm,Network_Exchange_kW,Energy_Trading_CHF,Total_Energy_Cost_CHF,Opt_Production_kW,Opt_Bidmi_Production_kW,Opt_Haselholz_Production_kW,Opt_Bidmi_mm,Opt_Haselholz_mm,Opt_Network_Exchange_kW,Opt_Energy_Trading_CHF,Opt_Target_Bidmi_mm,Opt_Target_Haselholz_mm,Opt_Terminal_Dev_Bidmi_mm,Opt_Terminal_Dev_Haselholz_mm,Opt_Total_Energy_Cost_CHF
2025-02-04 14:35:00,2025-02-04,14:35:00,0.0,799.658,1994.875,13.393,549.599,2.324,1.89,10.572525,2324.0,1890.0,312.36640625,487.29159375000006,7.816977133383383,89.24754464285714,-9.816977133383382,-91.24754464285714,9.816977133383382,83.43056750947375,1195.217,1.05303846774375,91916.08765803932,0.0,0.0,0.0,1901.09154952144,2338.37082730051,1994.875,1.75757215078125,1712.5666666666666,1991.8666666666666,0.0,0.0,968.0214662676445
2025-02-04 14:40:00,2025-02-04,14:40:00,0.0,827.503,1986.547,13.29,534.046,2.324,1.891,10.572525,2324.0,1891.0,323.243359375,504.259640625,8.089173157532533,92.35524553571427,-9.089173157532532,-92.35524553571427,9.089173157532532,84.26607237818176,1159.044,1.0211684721749998,91917.10882651148,0.0,0.0,0.0,1910.90852665483,2421.80139480999,1986.547,1.75023481843125,1712.5666666666666,1991.8666666666666,0.0,0.0,969.7717010860758
2025-02-04 14:45:00,2025-02-04,14:45:00,0.0,852.144,1994.4,13.098,517.131,2.324,1.892,10.572525,2324.0,1892.0,332.86875,519.27525,8.330048798798797,95.10535714285712,-9.330048798798796,-95.10535714285712,9.330048798798796,86.77530834405833,1142.256,1.0063775097,91918.11520402116,0.0,0.0,0.0,1919.99769981236,2506.06746718817,1994.4,1.757153655,1712.5666666666666,1991.8666666666666,0.0,0.0,971.5288547410759
2025-02-04 14:50:00,2025-02-04,14:50:00,0.0,871.751,1948.421,12.999,502.087,2.322,1.893,10.572525,2322.0,1893.0,340.527734375,531.223265625,8.521715074449448,97.29363839285712,-9.521715074449448,-95.29363839285712,9.521715074449448,86.77192331840769,1076.67,0.9485933743125,91919.06379739549,0.0,0.0,0.0,1929.32774861116,2592.84277553223,1948.421,1.7166441444187501,1712.5666666666666,1991.8666666666666,0.0,0.0,973.2454988854946
2025-02-04 14:55:00,2025-02-04,14:55:00,0.0,885.95,1978.322,12.394,489.117,2.32,1.893,10.572525,2320.0,1893.0,346.07421875,539.87578125,8.660515984734733,98.87834821428572,-8.660515984734733,-96.87834821428572,8.660515984734733,88.21783222955098,1092.3719999999998,0.9624275232749998,91920.02622491877,15.1834849149719,5.9310487949108985,9.252436120061,1938.84946368561,2679.61469885064,1963.138515085028,1.7296109190999447,1712.5666666666666,1991.8666666666666,0.0,0.0,974.9751098045946
2025-02-04 15:00:00,2025-02-04,15:00:00,0.0,895.356,2003.372,11.654,473.686,2.315,1.894,23.594895,2315.0,1894.0,349.7484375,545.6075625,8.7524634009009,99.92812499999998,-9.7524634009009,-94.92812499999998,9.7524634009009,86.17566159909907,1108.016,2.17862676486,91922.20485168362,515.183484914972,201.24354879491096,313.9399361200611,1947.36155502582,2766.28637035473,1488.188515085028,2.9261376461364295,1712.5666666666666,1991.8666666666666,0.0,0.0,977.901247450731
2025-02-04 15:05:00,2025-02-04,15:05:00,0.0,901.057,2032.982,11.593,456.83,2.31,1.894,23.594895,2310.0,1894.0,351.975390625,549.081609375,8.808192958583582,100.56439732142856,-8.808192958583582,-95.56439732142856,8.808192958583582,86.75620436284498,1131.925,2.22563762690625,91924.43048931051,851.956396599013,332.7954674214895,519.1609291775236,1952.07789358201,2800.0,1181.025603400987,2.3221812587131607,1712.5666666666666,1991.8666666666666,0.0,0.0,980.2234287094442
2025-02-04 15:10:00,2025-02-04,15:10:00,0.0,896.493,2072.155,11.5,438.517,2.304,1.895,23.594895,2304.0,1895.0,350.192578125,546.300421875,8.763578031156156,100.05502232142857,-9.763578031156156,-94.05502232142857,9.763578031156156,85.29144429027241,1175.6620000000005,2.3116351204575003,91926.74212443098,1076.42215523862,420.47740439008595,655.9447508485341,1952.55787164015,2800.0,995.7328447613802,1.9578509933496722,1712.5666666666666,1991.8666666666666,0.0,0.0,982.1812797027939
2025-02-04 15:15:00,2025-02-04,15:15:00,0.0,893.833,2218.236,11.296,419.469,2.296,1.895,23.594895,2296.0,1895.0,349.15351562499995,544.6794843749999,8.737575466091089,99.75814732142857,-8.737575466091089,-91.75814732142857,8.737575466091089,83.02057185533747,1324.4029999999998,2.604095810223749,91929.3462202412,576.422155238618,225.16490439008516,351.2572508485328,1951.79899210399,2775.67750060328,1641.813844761382,3.2282021063909254,1712.5666666666666,1991.8666666666666,0.0,0.0,985.4094818091847
2025-02-04 15:20:00,2025-02-04,15:20:00,0.0,881.761,2244.475,10.984,398.8,2.288,1.896,23.594895,2288.0,1896.0,344.437890625,537.323109375,8.619566832457457,98.41082589285712,-9.619566832457457,-90.41082589285712,9.619566832457457,81.79125906039965,1362.714,2.6794244787525,91932.02564471996,803.200034558422,313.7500134993836,489.45002105903836,1954.90181020296,2800.0,1441.274965441578,2.8338942896435553,1712.5666666666666,1991.8666666666666,0.0,0.0,988.2433760988283
